,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_max_depth,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,0.21131305694580077,0.027503504413745435,0.0,0.0,grow,6,0.7,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-3.866551160812378,-3.3101425170898438,-3.3309528827667236,-3.931351661682129,-4.7946600914001465,-3.846731662750244,0.5403845526450931,2,1
1,0.2608670711517334,0.04245576499163587,0.0,0.0,grow,6,0.7,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-5.418943405151367,-6.33591890335083,-3.0962331295013428,-7.819306373596191,-19.0173397064209,-8.337548303604127,5.555585993740143,10,1
2,0.25379209518432616,0.04363843118432402,0.00040283203125,0.0004933820411830587,grow,6,0.7,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-9.488015174865723,-9.033088684082031,-6.450866222381592,-12.723586082458496,-5.682573318481445,-8.675625896453857,2.4932571866368543,11,1
3,0.21429009437561036,0.04119634907388714,0.0,0.0,grow,6,0.9,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-10.380783081054688,-5.283092021942139,-10.753292083740234,-3.931351661682129,-3.780439853668213,-6.825791740417481,3.1014543776656334,7,1
4,0.18091697692871095,0.010239012834221782,0.00019993782043457032,0.0003998756408691407,grow,6,0.9,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 5}",-12.112724304199219,-8.749402046203613,-11.738709449768066,-12.001232147216797,-10.128046989440918,-10.946022987365723,1.3112771220259702,19,1
5,0.2640865325927734,0.018353154062279282,0.00019998550415039061,0.00039997100830078123,grow,6,0.9,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 7}",-11.46292781829834,-11.011610984802246,-11.644832611083984,-12.676408767700195,-10.226676940917969,-11.404491424560547,0.8025651903309666,22,1
6,0.2330763816833496,0.020538548104093793,0.0,0.0,grow,10,0.7,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 3}",-3.603174924850464,-3.3101425170898438,-3.1356375217437744,-3.931351661682129,-3.6193418502807617,-3.5199296951293944,0.27487150234992136,1,1
7,0.28561830520629883,0.07007154764132749,0.0004014492034912109,0.000491708928588146,grow,10,0.7,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 5}",-3.2939794063568115,-4.70625638961792,-11.656684875488281,-7.3096184730529785,-27.881755828857422,-10.969658994674683,8.922255206450282,21,1
8,0.2391213893890381,0.04808779305409142,0.0,0.0,grow,10,0.7,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 7}",-10.406438827514648,-9.033088684082031,-6.0399346351623535,-12.175957679748535,-6.127986431121826,-8.75668125152588,2.3991790703174063,12,1
9,0.22957825660705566,0.03667327553372085,0.0,0.0,grow,10,0.9,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 3}",-10.380783081054688,-5.283092021942139,-10.753292083740234,-3.8953793048858643,-3.8471171855926514,-6.831932735443115,3.0952471754924353,8,1
10,0.21237831115722655,0.028980431868033802,0.00039401054382324217,0.0007880210876464842,grow,10,0.9,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 5}",-12.112724304199219,-8.749402046203613,-11.738709449768066,-12.001232147216797,-10.128046989440918,-10.946022987365723,1.3112771220259702,19,1
11,0.3272736072540283,0.01282598836259207,0.0004021167755126953,0.0004924907412894617,grow,10,0.9,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 7}",-11.299458503723145,-10.077743530273438,-11.234579086303711,-12.08834457397461,-9.703356742858887,-10.880696487426757,0.8706171083276059,18,1
12,0.22408194541931153,0.028067991217715173,0.0,0.0,rhh,6,0.7,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-10.988692283630371,-2.7348411083221436,-3.0385196208953857,-3.803654193878174,-25.684804916381836,-9.250102424621582,8.761487658701595,15,1
13,0.3055671215057373,0.0355242882134348,0.00020213127136230468,0.00040426254272460935,rhh,6,0.7,5,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-7.807149887084961,-5.202775001525879,-6.7101874351501465,-6.325912952423096,-5.53895902633667,-6.31699686050415,0.9189197559890118,6,1
14,0.22114295959472657,0.020067691462728545,0.00020160675048828126,0.0004032135009765625,rhh,6,0.7,7,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-10.532035827636719,-8.94993782043457,-8.59635066986084,-11.385176658630371,-6.264911651611328,-9.145682525634765,1.7650060484710615,13,1
15,0.2002288818359375,0.025147374216456058,0.0,0.0,rhh,6,0.9,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-2.987164258956909,-3.3101425170898438,-3.366755485534668,-10.272235870361328,-3.9293200969696045,-4.773123645782471,2.766227604661688,4,1
