,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_ms_lower,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,1.0519220352172851,0.06386387348794094,0.0018097400665283204,0.0007392888683035655,grow,1,0.7,14,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 14}",-12.36601734161377,-11.971445083618164,-12.82281494140625,-14.35545539855957,-11.31757926940918,-12.566662406921386,1.0217774000697797,7,1
1,0.9213840961456299,0.10822835733074451,0.006766510009765625,0.0030094026106122305,grow,1,0.7,6,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 6}",-13.94742202758789,-14.038885116577148,-14.240948677062988,-16.07377052307129,-12.990330696105957,-14.258271408081054,1.0048650103249677,10,1
2,1.0644803524017334,0.052277226171037965,0.08117442131042481,0.0245335419399005,grow,1,0.9,14,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 14}",-14.69114875793457,-15.376688003540039,-14.944940567016602,-16.43787956237793,-13.396834373474121,-14.969498252868652,0.9872487388682479,13,1
3,0.9382038593292237,0.11626876896594382,0.100885009765625,0.1625616375930825,grow,1,0.9,6,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 6}",-16.341089248657227,-16.9827880859375,-16.606781005859375,-18.657424926757812,-15.7908353805542,-16.875783729553223,0.9717066286809894,16,1
4,1.0852741241455077,0.14992660803829955,0.004453516006469727,0.003041541155111689,grow,2,0.7,14,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 14}",-11.514610290527344,-9.880780220031738,-11.299826622009277,-11.938526153564453,-8.949790954589844,-10.716706848144531,1.1216314984538744,2,1
5,0.950629711151123,0.12249871535431343,0.015046501159667968,0.005651143399020959,grow,2,0.7,6,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 6}",-11.40529727935791,-10.732522964477539,-11.525832176208496,-12.659219741821289,-9.272295951843262,-11.1190336227417,1.1117046136159183,3,1
6,0.905468225479126,0.05445593378857208,0.024959325790405273,0.020600472015984327,grow,2,0.9,14,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 14}",-12.201199531555176,-12.344571113586426,-12.270041465759277,-13.742362022399902,-10.410880088806152,-12.193810844421387,1.0588151103212682,6,1
7,0.7227444648742676,0.043140366734057765,0.2349095344543457,0.059908807950751514,grow,2,0.9,6,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 6}",-15.251931190490723,-14.678743362426758,-14.768383979797363,-16.324010848999023,-13.273324966430664,-14.859278869628906,0.9854664225528577,12,1
8,1.1307986736297608,0.11046992625746568,0.002738809585571289,0.0017396733119597835,rhh,1,0.7,14,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 14}",-12.696052551269531,-11.951011657714844,-12.783717155456543,-14.398049354553223,-11.131080627441406,-12.59198226928711,1.0820857765163292,8,1
9,1.022169589996338,0.03827510808303444,0.0038167953491210936,0.0011621940954221303,rhh,1,0.7,6,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 6}",-13.653583526611328,-13.513550758361816,-13.917886734008789,-15.71364974975586,-12.601724624633789,-13.880079078674317,1.0181595336206388,9,1
10,1.1027348518371582,0.03522307272278456,0.1098525047302246,0.05924177856724837,rhh,1,0.9,14,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 14}",-14.252090454101562,-13.856857299804688,-14.651756286621094,-16.801116943359375,-13.393956184387207,-14.591155433654786,1.1811051765137641,11,1
11,0.9377829074859619,0.10163295382718078,0.27602496147155764,0.18672144913785987,rhh,1,0.9,6,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 6}",-15.61347484588623,-16.168424606323242,-16.36490821838379,-18.146385192871094,-15.100628852844238,-16.27876434326172,1.0332682722085016,15,1
12,1.167421817779541,0.0951410562483166,0.0010057449340820312,0.00110774945923756,rhh,2,0.7,14,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 14}",-11.603704452514648,-8.050670623779297,-11.128914833068848,-11.5469388961792,-8.322200775146484,-10.130485916137696,1.598067520739651,1,1
13,0.9385218620300293,0.06962065284477212,0.012448310852050781,0.0035926310938825287,rhh,2,0.7,6,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 6}",-11.966647148132324,-10.334610939025879,-11.899991035461426,-13.202957153320312,-9.855096817016602,-11.451860618591308,1.210790369962477,5,1
14,1.0219844818115233,0.07146065136539849,0.04233460426330567,0.029590042823295918,rhh,2,0.9,14,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 14}",-12.064467430114746,-9.32812786102295,-11.930107116699219,-13.372801780700684,-9.396289825439453,-11.21835880279541,1.597311390311323,4,1
15,0.8851435661315918,0.07828040167154722,0.2040492534637451,0.09142718984678896,rhh,2,0.9,6,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 6}",-14.09200668334961,-15.443117141723633,-14.450566291809082,-17.048828125,-13.995471954345703,-15.005998039245606,1.1427401683664242,14,1
